name,gender,ratio,females,males,total
Eya,F,100,6,0,6
Rohail,M,100,0,95,95
Kalifa,F,100,81,0,81
Kenyce,F,100,5,0,5
Kimyra,F,100,57,0,57
Samarra,F,100,365,0,365
Reylan,M,100,0,34,34
Kamiah,F,100,1012,0,1012
Taniela,M,100,0,96,96
Kamden,M,93,426,5874,6300
Levity,F,100,5,0,5
Leanny,F,100,112,0,112
Vriti,F,100,6,0,6
Oluwabusola,F,100,5,0,5
Brandonjames,M,100,0,21,21
Jalyse,F,100,53,0,53
Zoely,F,100,14,0,14
Nathaneil,M,100,0,404,404
Christy,F,99,96184,955,97139
Gabrielah,F,100,5,0,5
Naneka,F,100,5,0,5
Vannak,M,100,0,50,50
Krillin,M,100,0,5,5
Aaniyah,F,100,1026,0,1026
Mahogani,F,100,208,0,208
Jeramya,M,100,0,6,6
Malachy,M,100,0,451,451
Regeina,F,100,22,0,22
Kalik,M,100,0,191,191
Omaris,F,100,7,0,7
Makini,F,100,56,0,56
Chelsen,F,100,5,0,5
Geneve,F,100,146,0,146
Sathvik,M,100,0,382,382
Yubal,M,100,0,7,7
Tejuana,F,100,23,0,23
Alinea,F,100,5,0,5
Bereniz,F,100,56,0,56
Pellegrino,M,100,0,5,5
Yaila,F,100,20,0,20
Malekia,F,100,10,0,10
Jalie,F,100,275,0,275
Shynise,F,100,6,0,6
Zipporah,F,100,1795,0,1795
Alius,M,100,0,30,30
Mckeever,M,100,0,5,5
Jorey,M,89,25,213,238
Jacaree,M,100,0,21,21
Portia,F,100,7963,8,7971
Sharalee,F,100,94,0,94
Genesha,F,100,26,0,26
Gustav,M,100,0,1285,1285
Donnasia,F,100,17,0,17
Darshawn,M,100,0,155,155
Reginald,M,99,729,91693,92422
Kaniece,F,100,12,0,12
Rhiannan,F,100,171,0,171
Dijoun,M,100,0,6,6
Eliot,M,94,341,5399,5740
Mikaella,F,100,481,0,481
Kaara,F,100,13,0,13
Kynslea,F,100,6,0,6
Naveena,F,100,78,0,78
Geriah,F,100,15,0,15
Heathr,F,100,36,0,36
Taahira,F,100,54,0,54
Krishanda,F,100,18,0,18
Keshawn,M,94,342,5333,5675
Zackeriah,M,100,0,89,89
Zila,F,100,32,0,32
Tatiara,F,100,10,0,10
Trudell,F,100,12,0,12
Jiannah,F,100,22,0,22
Zariya,F,100,1100,0,1100
Delcenia,F,100,33,0,33
Donice,F,100,316,0,316
Dezhane,F,100,110,0,110
Vent,M,100,0,14,14
Gaolee,F,100,5,0,5
Beka,M,100,0,24,24
Misha,F,90,3293,355,3648
Makale,M,100,0,195,195
Selven,M,100,0,5,5
Dominyc,M,100,0,17,17
Antoneshia,F,100,6,0,6
Deaires,M,100,0,15,15
Hezzie,M,100,0,24,24
Lestine,F,100,114,0,114
Jazharia,F,100,5,0,5
Aquetzalli,F,100,19,0,19
Meerab,F,100,59,0,59
Ikeam,M,100,0,5,5
Wasif,M,100,0,95,95
Trig,M,100,0,132,132
Jennavecia,F,100,231,0,231
Shamecia,F,100,16,0,16
Beauen,M,100,0,6,6
Rizal,M,100,0,5,5
Evolette,F,100,121,0,121
Alyshea,F,100,33,0,33
Qadirah,F,100,40,0,40
Khoa,M,100,0,648,648
Niyahna,F,100,6,0,6
Ashir,M,100,0,62,62
Potter,F,100,5,0,5
Jamere,M,98,22,1301,1323
Stephenie,F,100,5493,0,5493
Titana,F,100,25,0,25
Bedford,M,100,0,248,248
Mckalee,F,100,10,0,10
Enemencio,M,100,0,5,5
Makiyha,F,100,22,0,22
Yarilyn,F,100,7,0,7
Machia,F,100,11,0,11
Kayatana,F,100,13,0,13
Tikeria,F,100,5,0,5
Lasheila,F,100,10,0,10
Janora,F,100,33,0,33
Shontae,F,99,842,10,852
Lenia,F,100,124,0,124
Dereginald,M,100,0,5,5
Terryann,F,100,112,0,112
Josanna,F,100,76,0,76
Wilde,M,100,0,16,16
Rheta,F,100,233,0,233
Quynh,F,100,251,0,251
Johan,M,100,40,8758,8798
Reva,F,100,5158,0,5158
Dermont,M,100,0,10,10
Racheal,F,100,9864,0,9864
Monyea,F,100,13,0,13
Lileana,F,100,36,0,36
Shaquasia,F,100,208,0,208
Gana,F,100,29,0,29
Michaelthomas,M,100,0,27,27
Jaronn,M,100,0,10,10
Raenesha,F,100,20,0,20
Jamaar,M,100,0,587,587
Amouri,M,74,5,14,19
Zayonna,F,100,78,0,78
Muranda,F,100,66,0,66
Antwoinette,F,100,11,0,11
Charlas,M,100,0,15,15
Makailah,F,100,474,0,474
Tonea,F,100,65,0,65
Queshawn,M,100,0,53,53
Brailyn,F,75,687,226,913
Avrum,M,100,0,301,301
Malikiya,F,100,5,0,5
Marcquise,M,100,0,38,38
Castiel,M,99,10,727,737
Jatavius,M,100,0,276,276
Tyreek,M,100,0,2015,2015
Ramire,M,100,0,11,11
Maxsim,M,100,0,37,37
Abid,M,100,0,303,303
Emanie,F,100,167,0,167
Jesselyn,F,100,481,0,481
Tomeika,F,100,252,0,252
Rwan,F,100,25,0,25
Kylianna,F,100,32,0,32
Aralyn,F,100,564,0,564
Chrishay,F,100,10,0,10
Ericjames,M,100,0,5,5
Jillena,F,100,35,0,35
Otavious,M,100,0,5,5
Cavanaugh,M,100,0,32,32
Pinchus,M,100,0,450,450
Daleisa,F,100,42,0,42
Labryant,M,100,0,23,23
Deevon,M,100,0,10,10
Takeela,F,100,47,0,47
Keana,F,100,2508,0,2508
Keshera,F,100,5,0,5
Yomaira,F,100,451,0,451
Rayda,F,100,5,0,5
Jemarr,M,100,0,6,6
Londynn,F,100,1071,0,1071
Mate,M,100,0,42,42
Anallely,F,100,209,0,209
Kizzy,F,99,2312,12,2324
Jayshawn,M,100,0,1419,1419
Travor,M,100,0,109,109
Bartosz,M,100,0,226,226
Lurlie,F,100,5,0,5
Anuhya,F,100,35,0,35
Nicoli,M,88,42,320,362
Woody,M,100,0,2496,2496
Timmyah,F,100,5,0,5
Nashana,F,100,21,0,21
Aerick,M,100,0,49,49
Tagen,M,60,99,146,245
Shairon,F,100,5,0,5
Nickell,F,100,11,0,11
Emalyne,F,100,14,0,14
Connan,M,100,0,5,5
Danahi,F,100,44,0,44
Shalaine,F,100,116,0,116
Janiel,M,74,187,536,723
Deovian,F,100,5,0,5
Immanuel,M,100,0,4036,4036
Corteze,M,100,0,6,6
Mueez,M,100,0,11,11
Wisam,M,100,0,183,183
Kylii,F,100,54,0,54
Maewyn,F,100,9,0,9
Ramos,M,100,0,39,39
Timmiah,F,100,5,0,5
Courtneyann,F,100,11,0,11
Saif,M,100,0,1360,1360
Jourdon,M,90,16,144,160
Damascus,M,100,0,88,88
Ceandra,F,100,12,0,12
Valerio,M,100,0,307,307
Yaileen,F,100,225,0,225
Mycheal,M,100,0,96,96
Zanique,F,100,21,0,21
Melesia,F,100,38,0,38
Tiffay,F,100,139,0,139
Legend,M,88,326,2461,2787
Rikke,F,100,16,0,16
Zakaree,M,100,0,51,51
Jayzion,M,100,0,26,26
Lennox,M,82,576,2557,3133
Ithzel,F,100,150,0,150
Vinessa,F,100,362,0,362
Tyneasha,F,100,7,0,7
Kellene,F,100,425,0,425
Selenia,F,100,434,0,434
Brierra,F,100,34,0,34
Lajuana,F,100,1422,0,1422
Karenza,F,100,12,0,12
Jenyah,F,100,29,0,29
Nilson,M,100,0,248,248
Shanissa,F,100,12,0,12
Vasudev,M,100,0,10,10
Irihanna,F,100,28,0,28
Bubba,M,100,0,470,470
Trinyti,F,100,19,0,19
Sanjita,F,100,19,0,19
Sunjai,F,100,23,0,23
Timberly,F,100,896,0,896
Hahna,F,100,6,0,6
Helia,F,100,53,0,53
Tilghman,M,100,0,12,12
Imogene,F,100,1872,0,1872
Eduarda,F,100,115,0,115
Vaneshia,F,100,53,0,53
Valetina,F,100,5,0,5
Mahliyah,F,100,18,0,18
Jaquira,F,100,37,0,37
Zakya,F,100,168,0,168
Joniel,M,100,0,327,327
Aira,F,100,235,0,235
Mourad,M,100,0,69,69
Dakkota,M,87,6,41,47
Jayqwan,M,100,0,11,11
Zyasia,F,100,481,0,481
Nuh,M,100,0,90,90
Zuly,F,100,360,0,360
Talli,F,100,139,0,139
Zaeem,M,100,0,126,126
Anice,F,100,229,0,229
Baeleigh,F,100,104,0,104
Damber,F,100,38,0,38
Amillion,F,67,149,73,222
Wendell,M,99,321,27982,28303
Jovana,F,100,1835,0,1835
Zackarey,M,100,0,63,63
Jebria,F,100,15,0,15
Natthan,M,100,0,29,29
Wakisha,F,100,86,0,86
Anansa,F,100,22,0,22
Sury,F,100,620,0,620
Hedy,F,100,977,0,977
Orlandrea,F,100,8,0,8
Elver,M,97,5,158,163
Tyheshia,F,100,5,0,5
Tajiri,M,100,0,26,26
Caitlain,F,100,84,0,84
Keandre,M,100,9,2535,2544
Jaque,M,85,23,135,158
Olan,M,100,0,817,817
Natron,M,100,0,47,47
Dayamin,F,100,25,0,25
Niomi,F,100,704,0,704
Nikkisha,F,100,51,0,51
Grabriela,F,100,37,0,37
Mailee,F,100,465,0,465
Devi,F,100,670,0,670
Lajohn,M,100,0,37,37
Jeiza,F,100,12,0,12
Annettia,F,100,6,0,6
Shah,M,98,5,302,307
Maryeli,F,100,14,0,14
Phyillis,F,100,60,0,60
Pollyann,F,100,81,0,81
Jiaya,F,100,11,0,11
Tzurty,F,100,18,0,18
Maisen,M,75,54,160,214
Keiundra,F,100,6,0,6
Carely,F,100,102,0,102
Elion,M,100,0,48,48
Jakelle,F,100,5,0,5
Stphanie,F,100,40,0,40
Kallina,F,100,6,0,6
Sevaeh,F,100,27,0,27
Dashawnna,F,100,20,0,20
Deshawnna,F,100,13,0,13
Valarie,F,100,16944,0,16944
Sayumi,F,100,24,0,24
Evgenia,F,100,55,0,55
Keenin,M,100,0,5,5
Johnatha,M,100,0,57,57
Yaleiza,F,100,6,0,6
Jaykwan,M,100,0,5,5
Debbie,F,100,183671,434,184105
Gatlyn,M,100,0,87,87
Seanan,M,100,0,18,18
Armod,M,100,0,10,10
Ania,F,100,2493,0,2493
Shaquara,F,100,12,0,12
Zubin,M,100,0,295,295
Maialen,F,100,5,0,5
Chenika,F,100,81,0,81
Amay,M,100,0,77,77
Rizwan,M,100,0,336,336
Marji,F,100,124,0,124
Jemini,F,81,43,10,53
Jamarien,M,100,0,161,161
Laresha,F,100,250,0,250
Java,M,54,17,20,37
Arlondo,M,100,0,10,10
Sanchez,M,98,17,880,897
Renda,F,100,966,0,966
Darence,M,100,0,19,19
Shields,M,100,0,5,5
Anshika,F,100,229,0,229
Atheer,F,100,5,0,5
Treisa,F,100,15,0,15
Phinehas,M,100,0,199,199
Elyn,F,97,387,11,398
Xxavier,M,100,0,105,105
Tiayanna,F,100,5,0,5
Joevanny,M,100,0,23,23
Tarik,M,100,11,3704,3715
Kynia,F,100,52,0,52
Carin,F,100,4279,0,4279
Aalexus,F,100,6,0,6
Giahnna,F,100,15,0,15
Alydia,F,100,415,0,415
Snapper,M,100,0,24,24
Ravon,M,76,264,826,1090
Lyndal,M,73,67,179,246
Calli,F,100,3920,0,3920
Janaa,F,100,52,0,52
Iahn,M,100,0,6,6
Gunnar,M,100,6,11097,11103
Guillermo,M,100,74,25822,25896
Kenishia,F,100,84,0,84
Sherle,F,100,51,0,51
Shalayna,F,100,97,0,97
Corneal,M,100,0,22,22
Emileah,F,100,39,0,39
Jaynelle,F,100,38,0,38
Cherese,F,100,757,0,757
Uchenna,M,67,185,371,556
Issiac,M,100,0,105,105
Lezlie,F,100,2286,0,2286
Mairi,F,100,230,0,230
Katika,F,100,39,0,39
Kenlie,F,100,423,0,423
Stepahanie,F,100,6,0,6
Jaccari,M,100,0,11,11
Navonte,M,100,0,10,10
Hardeep,M,74,25,72,97
Souleymane,M,100,0,265,265
Xeryus,M,100,0,12,12
Kahleel,M,100,0,211,211
Zelig,M,100,0,94,94
Wednesday,F,100,831,0,831
Raymir,M,100,0,38,38
Advit,M,100,0,19,19
Shamor,M,100,0,8,8
Mabelene,F,100,30,0,30
Kahana,F,100,7,0,7
Shellee,F,100,853,0,853
Isaias,M,100,0,11444,11444
Randilyn,F,100,96,0,96
Chadley,M,100,0,417,417
Frederic,M,100,0,5960,5960
Yathziri,F,100,11,0,11
Ketta,F,100,5,0,5
Argyro,F,100,5,0,5
Bridy,F,100,6,0,6
Nyleigh,F,100,7,0,7
Sahari,F,100,23,0,23
Yashaswini,F,100,6,0,6
Ayssa,F,100,161,0,161
Chamarion,M,100,0,5,5
Murleen,F,100,11,0,11
Thurman,M,100,0,4921,4921
Rhapsody,F,100,76,0,76
Milove,F,100,21,0,21
Maribela,F,100,28,0,28
Ghali,M,100,0,46,46
Dushawn,M,98,11,435,446
Keyonnie,F,100,18,0,18
Laziah,F,100,10,0,10
Raamond,M,100,0,6,6
Persaus,F,100,8,0,8
Ronette,F,100,918,0,918
Jaydenlee,M,100,0,11,11
Sheryce,F,100,19,0,19
Deymar,M,100,0,13,13
Mashaun,M,100,0,24,24
Cymande,M,100,0,9,9
Matas,M,100,0,102,102
Tynley,F,100,29,0,29
Javonda,F,100,278,0,278
Kassadie,F,100,87,0,87
Shaquesha,F,100,57,0,57
Adiel,M,93,82,1166,1248
Layken,F,87,565,83,648
Orlean,F,100,43,0,43
Candys,F,100,5,0,5
Earica,F,100,37,0,37
Qualon,M,100,0,19,19
Daviyana,F,100,5,0,5
Terryonna,F,100,17,0,17
Kyeem,M,100,0,13,13
Kristianna,F,100,1051,0,1051
Khanye,M,100,0,34,34
Ijana,F,100,5,0,5
Osirys,F,100,10,0,10
Blaize,M,89,154,1277,1431
Nikhilesh,M,100,0,5,5
Heer,F,100,113,0,113
Levorne,M,100,0,5,5
Tiam,M,100,0,17,17
Sarissa,F,100,108,0,108
Mordchai,M,100,0,5,5
Sirgio,M,100,0,5,5
Soroosh,M,100,0,6,6
Tamyka,F,100,136,0,136
Mayrim,F,100,51,0,51
Nelitza,F,100,5,0,5
Garnetta,F,100,232,0,232
Jodena,F,100,5,0,5
Bob,M,100,66,30033,30099
Ashmit,M,100,0,44,44
Delani,F,98,982,15,997
Jonam,M,100,0,6,6
Melkin,M,100,0,15,15
Pailyn,F,100,84,0,84
Madhuri,F,100,58,0,58
Shritha,F,100,47,0,47
Cythnia,F,100,108,0,108
Oda,F,77,24,7,31
Morley,M,75,22,67,89
Iasia,F,100,405,0,405
Xabriel,M,100,0,5,5
Liahona,F,100,17,0,17
Bellarose,F,100,332,0,332
Deterrius,M,100,0,23,23
Janaiyah,F,100,137,0,137
Harut,M,100,0,33,33
Sibyl,F,100,910,0,910
Anaka,F,100,262,0,262
Oswaldo,M,100,0,5267,5267
Georgana,F,100,141,0,141
Jerrae,F,100,5,0,5
Trysta,F,100,354,0,354
Deztini,F,100,26,0,26
Toba,F,100,237,0,237
Alvi,M,100,0,29,29
Giselda,F,100,21,0,21
Vee,F,92,60,5,65
Jumoke,M,100,0,15,15
Deniya,F,100,329,0,329
Mmary,F,100,5,0,5
Yaniv,M,100,0,215,215
Reny,M,65,6,11,17
Venus,F,99,7455,38,7493
Khamar,M,100,0,51,51
Jadora,F,100,25,0,25
Andersson,M,100,0,53,53
Coleton,M,100,0,2679,2679
Sheilia,F,100,315,0,315
Ilise,F,100,49,0,49
Genevieve,F,100,33874,12,33886
Zayland,M,100,0,5,5
Anasol,F,100,12,0,12
Olman,M,100,0,85,85
The,M,100,0,5,5
Shalayla,F,100,28,0,28
Alysianna,F,100,12,0,12
Josielyn,F,100,17,0,17
Ruthell,F,100,20,0,20
Icholas,M,100,0,70,70
Joziyah,M,100,0,49,49
Mirabel,F,100,394,0,394
Kamryne,F,100,5,0,5
Elmo,M,100,0,1513,1513
Shirline,F,100,78,0,78
Antoinne,M,100,0,384,384
Allysan,F,100,18,0,18
Kastiel,M,100,0,30,30
Suvali,F,100,7,0,7
Jaelinn,F,100,15,0,15
Lailoni,F,100,183,0,183
Kelby,M,73,1379,3721,5100
Evangeline,F,100,13410,0,13410
Tieshka,F,100,7,0,7
Jasmyn,F,100,5545,0,5545
Ashelly,F,100,32,0,32
Jontre,M,100,0,12,12
Otisha,F,100,160,0,160
Taia,F,100,506,0,506
Abriele,F,100,5,0,5
Mcclane,M,100,0,6,6
Arleth,F,100,2463,0,2463
Myesia,F,100,5,0,5
Sofiarose,F,100,13,0,13
Jarrot,M,100,0,11,11
Deshanna,F,100,339,0,339
Phillisha,F,100,11,0,11
Keesean,M,100,0,15,15
Nyeem,M,100,0,255,255
Lissa,F,100,3689,0,3689
Kemberlyn,F,100,5,0,5
Tliyah,F,100,6,0,6
Tanaia,F,100,80,0,80
Ayak,F,100,22,0,22
Annaleise,F,100,343,0,343
Marshia,F,100,201,0,201
Kelbie,F,100,213,0,213
Giustina,F,100,16,0,16
Shatay,F,100,5,0,5
Kendralyn,F,100,23,0,23
Amere,M,83,125,592,717
Taciana,F,100,5,0,5
Janal,F,93,69,5,74
Mikiel,M,100,0,58,58
Granvil,M,100,0,6,6
Saadiq,M,100,0,326,326
Azaila,F,100,20,0,20
Ezykiel,M,100,0,16,16
Monque,F,100,60,0,60
Bevan,M,88,66,476,542
Makhy,M,100,0,16,16
Emmalene,F,100,184,0,184
Desira,F,100,221,0,221
Yariah,F,100,93,0,93
Zaen,M,100,0,6,6
Hezikiah,M,100,0,22,22
Danayara,F,100,6,0,6
Gilana,F,100,27,0,27
Claudie,M,61,297,458,755
Jazyriah,F,100,16,0,16
Marcellene,F,100,10,0,10
Carver,M,100,0,1457,1457
Teiah,F,100,11,0,11
Rizelle,F,100,5,0,5
Kinslie,F,100,140,0,140
Mahal,F,100,6,0,6
Joycee,F,100,41,0,41
Chance,M,98,1074,42238,43312
Philistine,F,100,5,0,5
Aison,M,100,0,68,68
Airin,F,86,31,5,36
Elijaah,M,100,0,24,24
Kager,M,100,0,5,5
Devanshi,F,100,101,0,101
Ovie,M,100,0,76,76
Vasily,M,100,0,56,56
Lilyaunna,F,100,5,0,5
Akosua,F,100,288,0,288
Aleksia,F,100,188,0,188
Jesua,M,100,0,102,102
Abduallah,M,100,0,27,27
Jaymir,M,100,0,107,107
Maxx,M,99,37,2902,2939
Latishia,F,100,645,0,645
Okalani,F,100,12,0,12
Gyan,M,100,0,120,120
Eshita,F,100,14,0,14
Mascen,M,100,0,5,5
Suzanna,F,100,7994,0,7994
Reshma,F,100,441,0,441
Neala,F,100,394,0,394
Deljuan,M,100,0,28,28
Lessli,F,100,24,0,24
Teoni,F,100,15,0,15
Eliud,M,100,0,1261,1261
Annalisha,F,100,20,0,20
Deonni,F,100,21,0,21
Jumana,F,100,335,0,335
Belverly,F,100,5,0,5
Shakema,F,100,434,0,434
Lanissa,F,100,92,0,92
Angellie,F,100,13,0,13
Lilyana,F,100,5915,0,5915
Yvan,M,99,5,370,375
Arlett,F,100,513,0,513
Mare,M,100,0,323,323
Fizza,F,100,106,0,106
Dorjan,M,100,0,15,15
Moshe,M,100,21,11340,11361
Sambo,M,100,0,11,11
Rahson,M,100,0,11,11
Chistina,F,100,282,0,282
Luay,M,100,0,78,78
Stefhanie,F,100,128,0,128
Kartika,F,100,13,0,13
Jaiheim,M,100,0,8,8
Kiko,M,63,34,58,92
Berline,F,100,82,0,82
Tomara,F,100,400,0,400
Harshdeep,M,100,0,21,21
Stephanos,M,100,0,95,95
Zekiel,M,100,0,227,227
Revathi,F,100,6,0,6
Quang,M,100,0,710,710
Adden,M,100,0,103,103
Nitai,M,100,0,19,19
Kalimah,F,100,164,0,164
Navaiah,F,100,8,0,8
Kyoka,F,100,11,0,11
Sayeh,F,100,18,0,18
Jarhonda,F,100,14,0,14
Layman,M,100,0,52,52
Clorise,F,100,5,0,5
Govanni,M,100,0,239,239
Dalyssa,F,100,10,0,10
Audriella,F,100,40,0,40
Eder,M,100,0,2201,2201
Jocilyn,F,100,347,0,347
Dermarr,M,100,0,5,5
Annalynne,F,100,101,0,101
Jazai,M,100,0,5,5
Autumnrose,F,100,68,0,68
Yushin,M,100,0,5,5
Mykia,F,100,901,0,901
Abegail,F,100,478,0,478
Corinthian,M,78,185,646,831
Magno,M,100,0,17,17
Nataria,F,100,7,0,7
Letoria,F,100,49,0,49
Kelcie,F,99,3069,37,3106
Cecille,F,100,281,0,281
Zyeer,M,100,0,5,5
Tyzjuan,M,100,0,10,10
Jeily,F,100,157,0,157
Ladarrion,M,100,0,154,154
Abin,M,100,0,10,10
Lyric,F,83,11893,2477,14370
Tynique,F,100,16,0,16
Alissah,F,100,140,0,140
Kobey,M,100,0,544,544
Chatney,F,100,26,0,26
Valory,F,100,246,0,246
Cathaleen,F,100,220,0,220
Breahnna,F,100,16,0,16
Donterrious,M,100,0,33,33
Coralis,F,100,25,0,25
Raun,M,100,0,129,129
Miyonna,F,100,196,0,196
Kayna,F,100,207,0,207
Yuuna,F,100,5,0,5
Vernon,M,99,425,52571,52996
Omran,M,100,0,57,57
Keirya,F,100,5,0,5
Tiffy,F,100,24,0,24
Kahealani,F,100,319,0,319
Adebola,F,78,35,10,45
Xiomar,M,100,0,48,48
Lashawda,F,100,10,0,10
Lurlean,F,100,21,0,21
Sabha,F,100,5,0,5
Tzippy,F,100,105,0,105
Madellyne,F,100,5,0,5
Dazmon,M,100,0,20,20
Roneka,F,100,134,0,134
Caraleigh,F,100,17,0,17
Denequa,F,100,21,0,21
Chachi,M,100,0,9,9
Malaka,F,100,142,0,142
Waleska,F,100,470,0,470
Oaklynn,F,100,85,0,85
Bryianna,F,100,11,0,11
Raelle,F,100,181,0,181
Kobyn,M,100,0,65,65
Zitlally,F,100,54,0,54
Yulemni,F,100,11,0,11
Tiriq,M,100,0,6,6
Sadye,F,100,376,0,376
Ritta,F,100,66,0,66
Carlia,F,100,124,0,124
Alezander,M,100,0,126,126
Kashena,F,100,84,0,84
Brie,F,100,2490,0,2490
Tamra,F,100,13335,5,13340
Lynnis,F,100,9,0,9
Mercedys,F,100,6,0,6
Precyous,F,100,5,0,5
Cornelius,M,99,264,19596,19860
Meraris,F,100,6,0,6
Mellisha,F,100,5,0,5
Schane,M,100,0,6,6
Onisha,F,100,89,0,89
Zykerriah,F,100,6,0,6
Loeta,F,100,15,0,15
Vandell,M,100,0,81,81
Shellbe,F,100,5,0,5
Clarnece,M,100,0,6,6
Hamid,M,100,0,715,715
Fransico,M,100,0,739,739
Euriel,M,100,0,5,5
Denea,F,100,376,0,376
Dellareese,F,100,11,0,11
Parrish,M,86,426,2533,2959
Devereaux,M,95,6,107,113
Zebariah,M,100,0,5,5
Ananias,M,100,0,328,328
Loleatta,F,100,5,0,5
Dammion,M,100,0,16,16
Cynthia,F,100,631848,1786,633634
Toben,M,100,0,116,116
Yerelin,F,100,7,0,7
Rahmya,F,100,15,0,15
Jamiah,F,86,1905,302,2207
Bert,M,99,53,9581,9634
Etoya,F,100,31,0,31
Christylee,F,100,5,0,5
Breasha,F,100,54,0,54
Gerrad,M,100,0,321,321
Jayce,M,94,1191,17161,18352
Renella,F,100,106,0,106
Ihuoma,F,100,5,0,5
Nthan,M,100,0,5,5
Timmy,M,99,168,24600,24768
Delainie,F,100,82,0,82
Eileigh,F,100,10,0,10
Lorayne,F,100,238,0,238
Teina,F,100,30,0,30
Atreu,M,100,0,5,5
Jacenta,F,100,44,0,44
Latesha,F,100,3109,0,3109
Emilyann,F,100,555,0,555
Nada,F,100,2719,0,2719
Muaaz,M,100,0,37,37
Marlissa,F,100,420,0,420
Abdu,M,100,0,32,32
Fayrene,F,100,75,0,75
Trai,M,100,0,257,257
Brittnei,F,100,128,0,128
Daltin,M,100,0,193,193
Gladis,F,100,1640,0,1640
Jossilynn,F,100,5,0,5
Rosely,F,100,192,0,192
Salmaan,M,100,0,162,162
Leshon,M,74,28,80,108
Breaira,F,100,10,0,10
Daruis,M,100,0,180,180
Sarin,F,92,123,11,134
Juanice,F,100,174,0,174
Alicja,F,100,276,0,276
Rasaun,M,100,0,54,54
Xzariah,F,100,8,0,8
Eliese,F,100,66,0,66
Marae,F,100,202,0,202
Heliana,F,100,35,0,35
Malan,F,96,109,5,114
Gorman,M,100,0,137,137
Kron,M,100,0,112,112
Shawnah,F,100,39,0,39
Delando,M,100,0,147,147
Caros,M,100,0,17,17
Ladaisha,F,100,336,0,336
Yridiana,F,100,5,0,5
Ofelia,F,100,4553,0,4553
Ferlin,M,100,0,257,257
Syre,M,100,0,132,132
Jamarae,M,100,0,6,6
Desirre,F,100,111,0,111
Janeth,F,100,3619,0,3619
Yanisa,F,100,62,0,62
Natricia,F,100,15,0,15
Aldona,F,100,97,0,97
Tysheanna,F,100,12,0,12
Adolf,M,100,0,229,229
Joannette,F,100,10,0,10
Brookelle,F,100,93,0,93
Marqwan,M,100,0,7,7
Sahniya,F,100,38,0,38
Blaise,M,93,475,5943,6418
Aysa,F,98,220,5,225
Elane,F,100,450,0,450
Taelee,F,100,5,0,5
Myrakle,F,100,118,0,118
Danieal,F,62,29,18,47
Jaquille,M,100,0,134,134
Keondray,M,100,0,5,5
Nicoya,F,100,64,0,64
Dichelle,F,100,18,0,18
Brandee,F,100,5447,0,5447
Keyanda,F,100,27,0,27
Marvie,F,86,50,8,58
Yeneisy,F,100,33,0,33
Lakeishia,F,100,121,0,121
Jaeceion,M,100,0,5,5
Tahani,F,100,282,0,282
Demonde,M,100,0,5,5
Amrita,F,100,943,0,943
Jerry,M,99,5083,334682,339765
Lemichael,M,100,0,32,32
Toccara,F,99,966,14,980
Ekene,M,54,16,19,35
Nadeja,F,100,35,0,35
Jaclynne,F,100,149,0,149
Stelios,M,100,0,154,154
Timmi,F,100,124,0,124
Fergus,M,100,0,295,295
Nakayia,F,100,5,0,5
Gayna,F,100,89,0,89
Shaketha,F,100,91,0,91
Korrah,F,100,29,0,29
Jacquitta,F,100,11,0,11
Jossy,F,100,5,0,5
Fendi,F,100,100,0,100
Chaffee,F,50,5,5,10
Quintion,M,100,0,5,5
Aiyanna,F,100,3220,0,3220
Tajianna,F,100,5,0,5
Kadasha,F,100,35,0,35
Keri,F,99,31786,324,32110
Therman,M,100,0,610,610
Lamari,M,64,129,225,354
Cassiah,F,100,25,0,25
Angeleigh,F,100,58,0,58
Reiden,M,100,0,29,29
Joetta,F,100,2214,0,2214
Dannaly,F,100,12,0,12
Eon,M,100,0,267,267
Arieal,F,100,401,0,401
Rubymae,F,100,11,0,11
Iyannah,F,100,363,0,363
Kamekia,F,100,11,0,11
Srijan,M,100,0,114,114
Brandt,M,99,38,5188,5226
Rina,F,100,3459,0,3459
Gabriana,F,100,300,0,300
Sismai,F,100,17,0,17
Rayshonda,F,100,55,0,55
Antojuan,M,100,0,5,5
Akiria,F,100,39,0,39
Takera,F,100,280,0,280
Sebrinia,F,100,5,0,5
Jerimya,M,100,0,20,20
Brezlynn,F,100,12,0,12
Dagmar,F,100,475,0,475
Semeko,F,100,6,0,6
Allexandra,F,100,25,0,25
Bindy,F,100,16,0,16
Tyneisha,F,100,613,0,613
Wonda,F,100,1265,0,1265
Shadreka,F,100,22,0,22
Baeden,M,100,0,5,5
Haidee,F,100,533,0,533
Neyda,F,100,656,0,656
Jayquin,M,100,0,5,5
Satyam,M,100,0,16,16
Rainelle,F,100,102,0,102
Chardell,F,100,11,0,11
Sheera,F,100,133,0,133
Rowynn,F,100,136,0,136
Vyom,M,100,0,145,145
Kodee,F,50,279,276,555
Fransisco,M,100,0,2436,2436
Ishya,F,100,24,0,24
Louellen,F,100,102,0,102
Tresia,F,100,438,0,438
Rowdy,M,100,5,3056,3061
Chaeden,M,100,0,5,5
Stavroula,F,100,423,0,423
Sangita,F,100,84,0,84
Jahtavious,M,100,0,7,7
Shaconda,F,100,85,0,85
Laylah,F,100,3738,0,3738
Jeston,M,100,0,425,425
Allianna,F,100,294,0,294
Harding,M,100,0,133,133
Alfretta,F,100,22,0,22
