year,category,prize,outcome,author,title,gender
2005,fiction,nba,finalist,Mary Gaitskill,Veronica,F
2005,fiction,nba,finalist,Christopher Sorrentino,Trance,M
2005,fiction,nba,finalist,Renè Steinke,Holy Skirts,F
2005,poetry,nba,winner,W.S. Merwin,Migration: New and Selected Poems,M
2005,poetry,nba,finalist,John Ashbery,Where Shall I Wander,M
2005,poetry,nba,finalist,Frank Bidart,Star Dust: Poems,M
2005,poetry,nba,finalist,Brendan Galvin,"Habitat: New and Selected Poems, 1965-2005",M
2005,poetry,nba,finalist,Vern Rutsala,The Moment’s Equation,M
2006,fiction,nba,winner,Richard Powers,The Echo Maker,M
2006,fiction,nba,finalist,Mark Z. Danielewski,Only Revolutions,M
2006,fiction,nba,finalist,Ken Kalfus,A Disorder Peculiar to the Country,M
2006,fiction,nba,finalist,Dana Spiotta,Eat the Document,F
2006,fiction,nba,finalist,Jess Walter,The Zero,M
2006,poetry,nba,winner,Nathaniel Mackey,"Splay Anthem Louise Glück, Averno",M
2006,poetry,nba,finalist,H.L. Hix,Chromatic,M
2006,poetry,nba,finalist,Ben Lerner,Angle of Yaw,M
2006,poetry,nba,finalist,James McMichael,Capacity,M
2007,fiction,nba,winner,Denis Johnson,Tree of Smoke,M
2007,fiction,nba,finalist,Mischa Berlinski,Fieldwork,M
2007,fiction,nba,finalist,Lydia Davis,Varieties of Disturbance,F
2007,fiction,nba,finalist,Joshua Ferris,Then We Came to the End,M
2007,fiction,nba,finalist,Denis Johnson,Tree of Smoke,M
2007,fiction,nba,finalist,Jim Shepard,"Like You’d Understand, Anyway",M
2007,poetry,nba,winner,Robert Hass,Time and Materials,M
2007,poetry,nba,finalist,Linda Gregerson,Magnetic North,F
2007,poetry,nba,finalist,David Kirby,The House on Boulevard St.,M
2007,poetry,nba,finalist,Stanley Plumly,Old Heart,M
2007,poetry,nba,finalist,Ellen Bryant Voigt,"Messenger: New and Selected Poems, 1976-2006",F
2008,fiction,nba,winner,Peter Matthiessen,Shadow Country,M
2008,fiction,nba,finalist,Aleksandar Hemon,The Lazarus Project,M
2008,fiction,nba,finalist,Rachel Kushner,Telex from Cuba,F
2008,fiction,nba,finalist,Marilynne Robinson,Home,F
2008,fiction,nba,finalist,Salvatore Scibona,The End,M
2008,poetry,nba,winner,Mark Doty,Fire to Fire: New and Collected Poems,M
2008,poetry,nba,finalist,Frank Bidart,Watching the Spring Festival,M
2008,poetry,nba,finalist,Reginald Gibbons,Creatures of a Day,M
2008,poetry,nba,finalist,Richard Howard,Without Saying,M
2008,poetry,nba,finalist,Patricia Smith,Blood Dazzler,F
2009,fiction,nba,winner,Colum McCann,Let the Great World Spin,M
2009,fiction,nba,finalist,Bonnie Jo Campbell,American Salvage,F
2009,fiction,nba,finalist,Daniyal Mueenuddin,"In Other Rooms, Other Wonders",M
2009,fiction,nba,finalist,Jayne Anne Phillips,Lark and Termite,F
2009,fiction,nba,finalist,Marcel Theroux,Far North,M
2009,poetry,nba,winner,Keith Waldrop,Transcendental Studies: A Trilogy,M
2009,poetry,nba,finalist,Rae Armantrout,Versed,F
2009,poetry,nba,finalist,Ann Lauterbach,Or to Begin Again,F
2009,poetry,nba,finalist,Carl Phillips,Speak Low,M
2009,poetry,nba,finalist,Lyrae Van Clief-Stefanon,Open Interval,F
2010,fiction,nba,winner,Jaimy Gordon,Lord of Misrule,F
2010,fiction,nba,finalist,Peter Carey,Parrot and Olivier in America,M
2010,fiction,nba,finalist,Nicole Krauss,Great House,F
2010,fiction,nba,finalist,Lionel Shriver,So Much for That,M
2010,fiction,nba,finalist,Karen Tei Yamashita,I Hotel,F
2010,poetry,nba,winner,Terrance Hayes,Lighthead,M
2010,poetry,nba,finalist,Kathleen Graber,The Eternal City,F
2010,poetry,nba,finalist,James Richardson,By the Numbers,M
2010,poetry,nba,finalist,C.D. Wright,One with Others,F
2010,poetry,nba,finalist,Monica Youn,Ignatz,F
2015,poetry,nba,winner,Robin Coste Lewis,Voyage of the Sable Venus,F
2015,poetry,nba,finalist,Ross Gay,Catalog of Unabashed Gratitude,M
2015,poetry,nba,finalist,Terrance Hayes,How to Be Drawn,M
2015,poetry,nba,finalist,Ada Limón,Bright Dead Things,F
2015,poetry,nba,finalist,Patrick Phillips,Elegy for a Broken Machine,M
2014,poetry,nba,winner,Louise Gluck,Faithful and Virtuous Night,F
2014,poetry,nba,finalist,Fanny Howe,Second Childhood,F
2014,poetry,nba,finalist,Maureen N. McLane,This Blue,F
2014,poetry,nba,finalist,Fred Moten,The Feel Trio,M
2014,poetry,nba,finalist,Claudia Rankine,Citizen,F
2013,poetry,nba,winner,Mary Szybist,Incarnadine,F
2013,poetry,nba,finalist,Frank Bidart,Metaphysical Dog,M
2013,poetry,nba,finalist,Lucie Brock-Broido,"Stay, Illusion",F
2013,poetry,nba,finalist,Adrian Matejka,The Big Smoke,M
2013,poetry,nba,finalist,Matt Rasmussen,Black Aperture,M
2012,poetry,nba,winner,David Ferry,Bewilderment: New Poems and Translations,M
2012,poetry,nba,finalist,Susan Wheeler,Meme,F
2012,poetry,nba,finalist,Cynthia Huntington,Heavenly Bodies,F
2012,poetry,nba,finalist,Tim Seibles,Fast Animal,M
2012,poetry,nba,finalist,Alan Shapiro,Night of the Republic,M
2011,poetry,nba,winner,Nikky Finney,Head Off & Split: Poems,F
2011,poetry,nba,finalist,Yusef Komunyakaa,The Chameleon Couch,M
2011,poetry,nba,finalist,Carl Phillips,Double Shadow,M
2011,poetry,nba,finalist,Adrienne Rich,Tonight No Poetry Will Serve: Poems: 2007-2010,F
2011,poetry,nba,finalist,Bruce Smith,Devotions,M
2011,fiction,nba,winner,Jesmyn Ward,Salvage the Bones,F
2011,fiction,nba,finalist,Andrew Krivak,The Sojourn,M
2011,fiction,nba,finalist,Téa Obreht,The Tiger's Wife,F
2011,fiction,nba,finalist,Julie Otsuka,The Buddha in the Attic,F
2011,fiction,nba,finalist,Edith Pearlman,Binocular Vision,F
2013,fiction,nba,winner,James McBride,The Good Lord Bird,M
2013,fiction,nba,finalist,Rachel Kushner,The Flamethrowers,F
2013,fiction,nba,finalist,Jhumpa Lahiri,The Lowland,F
2013,fiction,nba,finalist,Thomas Pynchon,Bleeding Edge,M
2013,fiction,nba,finalist,George Saunders,Tenth of December: Stories,M
2014,fiction,nba,winner,Phil Klay,Redeployment',M
2014,fiction,nba,finalist,Rabih Alameddine,An Unnecessary Woman,M
2014,fiction,nba,finalist,Anthony Doerr,All the Light We Cannot See,M
2014,fiction,nba,finalist,Emily St. John Mandel,Station Eleven,F
2014,fiction,nba,finalist,Marilynne Robinson,Lila,F
2015,fiction,nba,winner,Adam Johnson,Fortune Smiles,M
2015,fiction,nba,finalist,Karen Bender,Refund: Stories,F
2015,fiction,nba,finalist,Lauren Groff,Fates and Furies,F
2015,fiction,nba,finalist,Angela Flournoy,The Turner House,F
2015,fiction,nba,finalist,Hanya Yanagihara,A Little Life,F
