year,category,prize,outcome,author,title,gender
2000,fiction,pulitzer,winner,Michael Chabon,The Amazing Adventures of Kavalier & Clay,M
1999,fiction,pulitzer,winner,Jhumpa Lahiri,Interpreter of Maladies,F
1998,fiction,pulitzer,winner,Michael Cunningham,The Hours,M
1997,fiction,pulitzer,winner,Philip Roth,American Pastoral,M
1996,fiction,pulitzer,winner,Steven Millhauser,Martin Dressler: The Tale of an American Dreamer,M
1995,fiction,pulitzer,winner,Richard Ford,Independence Day,M
1994,fiction,pulitzer,winner,Carol Shields,The Stone Diaries,F
1993,fiction,pulitzer,winner,E. Annie Proulx,The Shipping News,F
1992,fiction,pulitzer,winner,Robert Olen Butler,A Good Scent from a Strange Mountain,M
1991,fiction,pulitzer,winner,Jane Smiley,A Thousand Acres,F
1990,fiction,pulitzer,winner,John Updike,Rabbit At Rest,M
1989,fiction,pulitzer,winner,Oscar Hijuelos,The Mambo Kings Play Songs of Love,M
1988,fiction,pulitzer,winner,Anne Tyler,Breathing Lessons,F
1987,fiction,pulitzer,winner,Toni Morrison,Beloved,F
1986,fiction,pulitzer,winner,Peter Taylor,A Summons to Memphis,M
1985,fiction,pulitzer,winner,Larry McMurtry,Lonesome Dove,M
1984,fiction,pulitzer,winner,Alison Lurie,Foreign Affairs,F
1991,poetry,pulitzer,finalist,Robert Creeley,Selected Poems,M
1991,poetry,pulitzer,finalist,Adrienne Rich,An Atlas of the Difficult World: Poems 1988-1991,F
1992,poetry,pulitzer,finalist,John Ashbery,Hotel Lautreamont,M
1992,poetry,pulitzer,finalist,James Merrill,Selected Poems 1946-1985,M
1993,poetry,pulitzer,finalist,Brenda Hillman,Bright Existence,F
1993,poetry,pulitzer,finalist,Allen Mandelbaum,The Metamorphoses of Ovid,M
1994,poetry,pulitzer,finalist,Allen Ginsberg,Cosmopolitan Greetings: Poems 1986-1992,M
1994,poetry,pulitzer,finalist,Kenneth Koch,On The Great Atlantic Rainway: Selected Poems 1950-1988 and One Train,M
1995,poetry,pulitzer,finalist,Donald Justice,New and Selected Poems,M
1995,poetry,pulitzer,finalist,Charles Wright,Chickamauga,M
1996,poetry,pulitzer,finalist,Robert Pinsky,The Figured Wheel,M
1996,poetry,pulitzer,finalist,Laurie Sheck,The Willow Grove,F
1997,poetry,pulitzer,finalist,Frank Bidart,Desire,M
1997,poetry,pulitzer,finalist,C.K. Williams,The Vigil,M
1998,poetry,pulitzer,finalist,Alice Notley,Mysteries of Small Houses,F
1998,poetry,pulitzer,finalist,Frederick Seidel,Going Fast,M
1999,poetry,pulitzer,finalist,Rodney Jones,Elegy for the Southern Drawl,M
1999,poetry,pulitzer,finalist,Adrienne Rich,Midnight Salvage: Poems 1995-1998,F
2000,poetry,pulitzer,finalist,Sydney Lea,Pursuit of a Wound,F
2000,poetry,pulitzer,finalist,Bruce Smith,The Other Lover,M
2001,poetry,pulitzer,finalist,Louise Gluck,The Seven Ages,F
2001,poetry,pulitzer,finalist,Franz Wright,The Beforelife,M
2002,poetry,pulitzer,finalist,Frank Bidart,Music Like Dirt,M
2002,poetry,pulitzer,finalist,J.D. McClatchy,Hazmat,M
2003,poetry,pulitzer,finalist,Henri Cole,Middle Earth,M
2003,poetry,pulitzer,finalist,Heather McHugh,Eyeshot,F
2004,poetry,pulitzer,finalist,Brigit Pegeen Kelly,The Orchard,F
2004,poetry,pulitzer,finalist,William Matthews,Search Party: Collected Poems,M
2005,poetry,pulitzer,finalist,Elizabeth Alexander,American Sublime,F
2005,poetry,pulitzer,finalist,Dean Young,Elegy on Toy Piano,M
2006,poetry,pulitzer,finalist,Martin Espada,The Republic of Poetry,M
2006,poetry,pulitzer,finalist,David Wojahn,Interrogation Palace: New & Selected Poems 1982-2004,M
2007,poetry,pulitzer,finalist,Ellen Bryant Voigt,"Messenger: New and Selected Poems, 1976-2006",F
2008,poetry,pulitzer,finalist,Frank Bidart,Watching the Spring Festival,M
2008,poetry,pulitzer,finalist,Ruth Stone,What Love Comes To: New & Selected Poems,F
2009,poetry,pulitzer,finalist,Angie Estes,Tryst,F
2009,poetry,pulitzer,finalist,Lucia Perillo,Inseminating the Elephant,F
2010,poetry,pulitzer,finalist,Maurice Manning,The Common Man,M
2010,poetry,pulitzer,finalist,Jean Valentine,Break the Glass,F
2011,poetry,pulitzer,finalist,Forrest Gander,Core Samples from the World,M
2011,poetry,pulitzer,finalist,Ron Padgett,How Long,M
2012,poetry,pulitzer,finalist,the late Jack Gilbert,Collected Poems,M
2012,poetry,pulitzer,finalist,Bruce Weigl,The Abundance of Nothing,M
2013,poetry,pulitzer,finalist,Morri Creech,The Sleep of Reason,M
2013,poetry,pulitzer,finalist,Adrian Matejka,The Big Smoke,M
2014,poetry,pulitzer,finalist,Alan Shapiro,Reel to Reel,M
2014,poetry,pulitzer,finalist,Arthur Sze,Compass Rose,M
2015,poetry,pulitzer,finalist,Diane Seuss,Four-Legged Girl,F
2015,poetry,pulitzer,finalist,Elizabeth Willis,Alive: New and Selected Poems,F
2015,poetry,pulitzer,winner,Peter Balakian,Ozone Journal,M
2014,poetry,pulitzer,winner,Gregory Pardlo,Digest,M
2013,poetry,pulitzer,winner,Vijay Seshadri,3 Sections,M
2012,poetry,pulitzer,winner,Sharon Olds,Stag's Leap,F
2011,poetry,pulitzer,winner,Tracy K. Smith,Life on Mars,F
2010,poetry,pulitzer,winner,Kay Ryan,The Best of It: New and Selected Poems,F
2009,poetry,pulitzer,winner,Rae Armantrout,Versed,F
2008,poetry,pulitzer,winner,W.S. Merwin,The Shadow of Sirius,M
2007,poetry,pulitzer,winner,Robert Hass,Time and Materials,M
2007,poetry,pulitzer,winner,Philip Schultz,Failure,M
2006,poetry,pulitzer,winner,Natasha Trethewey,Native Guard,F
2005,poetry,pulitzer,winner,Claudia Emerson,Late Wife,F
2004,poetry,pulitzer,winner,Ted Kooser,Delights & Shadows,M
2003,poetry,pulitzer,winner,Franz Wright,Walking to Martha's Vineyard,M
2002,poetry,pulitzer,winner,Paul Muldoon,Moy Sand and Gravel,M
2001,poetry,pulitzer,winner,Carl Dennis,Practical Gods,M
2000,poetry,pulitzer,winner,Stephen Dunn,Different Hours,M
1999,poetry,pulitzer,winner,C.K. Williams,Repair,M
1998,poetry,pulitzer,winner,Mark Strand,Blizzard of One,M
1997,poetry,pulitzer,winner,Charles Wright,Black Zodiac,M
1996,poetry,pulitzer,winner,Lisel Mueller,Alive Together: New and Selected Poems,F
1995,poetry,pulitzer,winner,Jorie Graham,The Dream of the Unified Field,F
1994,poetry,pulitzer,winner,Philip Levine,The Simple Truth,M
1993,poetry,pulitzer,winner,Yusef Komunyakaa,Neon Vernacular: New and Selected Poems,M
1992,poetry,pulitzer,winner,Louise Glück,The Wild Iris,F
1991,poetry,pulitzer,winner,James Tate,Selected Poems,M
